,subject,noun,distance,path
0,Google,Silicon,5,"[1, 2, 6, 5, 4]"
1,Google,Valley,4,"[1, 2, 6, 5]"
2,Google,AcquisitionIn,3,"[1, 2, 6]"
3,Google,October,4,"[1, 2, 10, 8]"
4,Google,John,4,"[1, 2, 10, 9]"
5,Google,Hanke,3,"[1, 2, 10]"
6,Google,co,6,"[1, 2, 10, 12, 13, 15]"
7,Google,-,6,"[1, 2, 10, 12, 13, 16]"
8,Google,workers,6,"[1, 2, 10, 12, 13, 17]"
9,Google,reunion,5,"[1, 2, 18, 19, 21]"
10,Google,sorts,7,"[1, 2, 18, 19, 21, 22, 23]"
11,Google,Fiesta,8,"[1, 2, 18, 19, 21, 24, 27, 25]"
12,Google,Del,8,"[1, 2, 18, 19, 21, 24, 27, 26]"
13,Google,Mar,7,"[1, 2, 18, 19, 21, 24, 27]"
14,Google,restaurant,8,"[1, 2, 18, 19, 21, 24, 27, 31]"
15,Google,Google,11,"[1, 2, 18, 19, 21, 24, 27, 31, 32, 37, 33]"
16,Google,Mountain,12,"[1, 2, 18, 19, 21, 24, 27, 31, 32, 37, 36, 35]"
17,Google,View,11,"[1, 2, 18, 19, 21, 24, 27, 31, 32, 37, 36]"
18,Google,headquarters,10,"[1, 2, 18, 19, 21, 24, 27, 31, 32, 37]"
